,id,value
328,FM.LBL.BMNY.GD.ZS,Broad money (% of GDP)
329,FM.LBL.BMNY.IR.ZS,Broad money to total reserves ratio
330,FM.LBL.BMNY.ZG,Broad money growth (annual %)
331,FP.CPI.TOTL,Consumer price index (2010 = 100)
332,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)"
333,FP.WPI.TOTL,Wholesale price index (2010 = 100)
334,FR.INR.DPST,Deposit interest rate (%)
335,FR.INR.LEND,Lending interest rate (%)
336,FR.INR.LNDP,"Interest rate spread (lending rate minus deposit rate, %)"
337,FR.INR.RINR,Real interest rate (%)
338,FR.INR.RISK,"Risk premium on lending (lending rate minus treasury bill rate, %)"
339,FS.AST.CGOV.GD.ZS,"Claims on central government, etc. (% GDP)"
340,FS.AST.DOMO.GD.ZS,Claims on other sectors of the domestic economy (% of GDP)
341,FS.AST.DOMS.GD.ZS,Domestic credit provided by financial sector (% of GDP)
342,FS.AST.PRVT.GD.ZS,Domestic credit to private sector (% of GDP)
343,FX.OWN.TOTL.40.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)"
344,FX.OWN.TOTL.60.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)"
345,FX.OWN.TOTL.FE.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)"
346,FX.OWN.TOTL.MA.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)"
347,FX.OWN.TOTL.OL.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)"
348,FX.OWN.TOTL.PL.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)"
349,FX.OWN.TOTL.SO.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)"
350,FX.OWN.TOTL.YG.ZS,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)"
351,FX.OWN.TOTL.ZS,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+)
352,GB.XPD.RSDV.GD.ZS,Research and development expenditure (% of GDP)
353,GC.AST.TOTL.CN,Net acquisition of financial assets (current LCU)
354,GC.AST.TOTL.GD.ZS,Net acquisition of financial assets (% of GDP)
355,GC.DOD.TOTL.CN,"Central government debt, total (current LCU)"
356,GC.DOD.TOTL.GD.ZS,"Central government debt, total (% of GDP)"
357,GC.LBL.TOTL.CN,"Net incurrence of liabilities, total (current LCU)"
358,GC.LBL.TOTL.GD.ZS,"Net incurrence of liabilities, total (% of GDP)"
359,GC.NFN.TOTL.CN,Net investment in nonfinancial assets (current LCU)
360,GC.NFN.TOTL.GD.ZS,Net investment in nonfinancial assets (% of GDP)
361,GC.NLD.TOTL.CN,Net lending (+) / net borrowing (-) (current LCU)
362,GC.NLD.TOTL.GD.ZS,Net lending (+) / net borrowing (-) (% of GDP)
363,GC.REV.GOTR.CN,Grants and other revenue (current LCU)
364,GC.REV.GOTR.ZS,Grants and other revenue (% of revenue)
365,GC.REV.SOCL.CN,Social contributions (current LCU)
366,GC.REV.SOCL.ZS,Social contributions (% of revenue)
367,GC.REV.XGRT.CN,"Revenue, excluding grants (current LCU)"
368,GC.REV.XGRT.GD.ZS,"Revenue, excluding grants (% of GDP)"
369,GC.TAX.EXPT.CN,Taxes on exports (current LCU)
370,GC.TAX.EXPT.ZS,Taxes on exports (% of tax revenue)
371,GC.TAX.GSRV.CN,Taxes on goods and services (current LCU)
372,GC.TAX.GSRV.RV.ZS,Taxes on goods and services (% of revenue)
373,GC.TAX.GSRV.VA.ZS,Taxes on goods and services (% value added of industry and services)
374,GC.TAX.IMPT.CN,Customs and other import duties (current LCU)
375,GC.TAX.IMPT.ZS,Customs and other import duties (% of tax revenue)
376,GC.TAX.INTT.CN,Taxes on international trade (current LCU)
377,GC.TAX.INTT.RV.ZS,Taxes on international trade (% of revenue)
378,GC.TAX.OTHR.CN,Other taxes (current LCU)
379,GC.TAX.OTHR.RV.ZS,Other taxes (% of revenue)
380,GC.TAX.TOTL.CN,Tax revenue (current LCU)
381,GC.TAX.TOTL.GD.ZS,Tax revenue (% of GDP)
382,GC.TAX.YPKG.CN,"Taxes on income, profits and capital gains (current LCU)"
383,GC.TAX.YPKG.RV.ZS,"Taxes on income, profits and capital gains (% of revenue)"
384,GC.TAX.YPKG.ZS,"Taxes on income, profits and capital gains (% of total taxes)"
385,GC.XPN.COMP.CN,Compensation of employees (current LCU)
386,GC.XPN.COMP.ZS,Compensation of employees (% of expense)
387,GC.XPN.GSRV.CN,Goods and services expense (current LCU)
388,GC.XPN.GSRV.ZS,Goods and services expense (% of expense)
389,GC.XPN.INTP.CN,Interest payments (current LCU)
390,GC.XPN.INTP.RV.ZS,Interest payments (% of revenue)
391,GC.XPN.INTP.ZS,Interest payments (% of expense)
392,GC.XPN.OTHR.CN,Other expense (current LCU)
393,GC.XPN.OTHR.ZS,Other expense (% of expense)
394,GC.XPN.TOTL.CN,Expense (current LCU)
395,GC.XPN.TOTL.GD.ZS,Expense (% of GDP)
396,GC.XPN.TRFT.CN,Subsidies and other transfers (current LCU)
397,GC.XPN.TRFT.ZS,Subsidies and other transfers (% of expense)
398,GD_WBL_OVL_ENF,WBL: Enforcement Perceptions Index (scale 0-100)
399,GD_WBL_OVL_LAW,WBL: Legal Framework Index (scale 0-100)
400,GD_WBL_OVL_SFR,WBL: Supportive Framework Index (scale 0-100)
401,GF.XPD.BUDG.ZS,Primary government expenditures as a proportion of original approved budget (%)
402,HD_HCIP_EDUC_FE,"Human capital index plus (HCI+): education pillar score, female (scale 0–188)"
403,HD_HCIP_EDUC_MA,"Human capital index plus (HCI+): education pillar score, male (scale 0–188)"
404,HD_HCIP_EDUC_TO,"Human capital index plus (HCI+): education pillar score, total (scale 0–188)"
405,HD_HCIP_HLTH_FE,"Human capital index plus (HCI+): health pillar score, female (scale 0–50)"
406,HD_HCIP_HLTH_MA,"Human capital index plus (HCI+): health pillar score, male (scale 0–50)"
407,HD_HCIP_HLTH_TO,"Human capital index plus (HCI+): health pillar score, total (scale 0–50)"
408,HD_HCIP_OTJL_FE,"Human capital index plus (HCI+): on-the-job learning pillar score, female (scale -30–87)"
409,HD_HCIP_OTJL_MA,"Human capital index plus (HCI+): on-the-job learning pillar score, male (scale -30–87)"
410,HD_HCIP_OTJL_TO,"Human capital index plus (HCI+): on-the-job learning pillar score, total (scale -30–87)"
411,HD_HCIP_OVRL_FE,"Human capital index plus (HCI+): overall score, female (scale 0–325)"
412,HD_HCIP_OVRL_MA,"Human capital index plus (HCI+): overall score, male (scale 0–325)"
413,HD_HCIP_OVRL_TO,"Human capital index plus (HCI+): overall score, total (scale 0–325)"
414,IC.BRE.BE.OS,B-READY: Business Entry: Overall Score
415,IC.BRE.BE.P1,B-READY: Business Entry Pillar 1: Quality of Regulations for Business Entry
416,IC.BRE.BE.P2,B-READY: Business Entry Pillar 2: Digital Public Services and Transparency of Information for Business Entry
417,IC.BRE.BE.P3,B-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry
418,IC.BRE.BI.OS,B-READY: Business Insolvency: Overall Score
419,IC.BRE.BI.P1,B-READY: Business Insolvency Pillar 1: Quality of Regulations for Judicial Insolvency Proceedings
420,IC.BRE.BI.P2,B-READY: Business Insolvency Pillar 2: Quality of Institutional and Operational Infrastructure for Judicial Insolvency Proceedings
421,IC.BRE.BI.P3,B-READY: Business Insolvency Pillar 3: Operational Efficiency of Resolving Judicial Insolvency Proceedings
422,IC.BRE.BL.OS,B-READY: Business Location: Overall Score
423,IC.BRE.BL.P1,B-READY: Business Location Pillar 1: Quality of Regulations for Business Location
424,IC.BRE.BL.P2,B-READY: Business Location Pillar 2: Quality of Public Services and Transparency of Information for Business Location
425,IC.BRE.BL.P3,B-READY: Business Location Pillar 3: Operational Efficiency of Establishing a Business Location
426,IC.BRE.DR.OS,B-READY: Dispute Resolution: Overall Score
427,IC.BRE.DR.P1,B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution
428,IC.BRE.DR.P2,B-READY: Dispute Resolution Pillar 2: Public Services for Dispute Resolution
429,IC.BRE.DR.P3,B-READY: Dispute Resolution Pillar 3:  Ease of Resolving a Commercial Dispute
430,IC.BRE.FS.OS,B-READY: Financial Services: Overall Score
431,IC.BRE.FS.P1,B-READY: Financial Services Pillar 1: Quality of Regulations for Financial Services
432,IC.BRE.FS.P2,B-READY: Financial Services Pillar 2: Accessibility of Information in Credit Infrastructure
433,IC.BRE.FS.P3,B-READY: Financial Services Pillar 3: Operational Efficiency of Receiving Financial Services
434,IC.BRE.IT.OS,B-READY: International Trade: Overall Score
435,IC.BRE.IT.P1,B-READY: International Trade Pillar 1: Quality of Regulations for International Trade
436,IC.BRE.IT.P2,B-READY: International Trade Pillar 2: Quality of Public Services for the Facilitation of International Trade
437,IC.BRE.IT.P3,"B-READY: International Trade Pillar 3: Efficiency of Importing Goods, Exporting Goods, and Engaging in Digital Trade"
438,IC.BRE.LB.OS,B-READY: Labor: Overall Score
439,IC.BRE.LB.P1,B-READY: Labor Pillar 1: Quality of Labor Regulations
440,IC.BRE.LB.P2,B-READY: Labor Pillar 2: Adequacy of Public Services for Labor
441,IC.BRE.LB.P3,B-READY: Labor Pillar 3: Operational Efficiency of Labor Regulations and Public Services in Practice
442,IC.BRE.MC.OS,B-READY: Market Competition: Overall Score
443,IC.BRE.MC.P1,B-READY: Market Competition Pillar 1: Quality of Regulations that Promote Market Competition
444,IC.BRE.MC.P2,B-READY: Market Competition Pillar 2: Public Services that Promote Market Competition
445,IC.BRE.MC.P3,B-READY: Market Competition Pillar 3:  Implementation of Key Services Promoting Market Competition
446,IC.BRE.P1.RF,B-READY: Pillar 1: Regulatory Framework
447,IC.BRE.P2.PS,B-READY: Pillar 2: Public Services
448,IC.BRE.P3.OE,B-READY: Pillar 3: Operational Efficiency
449,IC.BRE.TX.OS,B-READY: Taxation: Overall Score
450,IC.BRE.TX.P1,B-READY: Taxation Pillar 1: Quality of Regulations on Taxation
451,IC.BRE.TX.P2,B-READY: Taxation Pillar 2: Public Services Provided by the Tax Administration
452,IC.BRE.TX.P3,B-READY: Taxation Pillar 3: Operational Efficiency of Tax Systems in Practice
453,IC.BRE.US.OS,B-READY: Utility Services: Overall Score
454,IC.BRE.US.P1,B-READY: Utility Services Pillar 1: Quality of Regulations on Utility Services
455,IC.BRE.US.P2,B-READY: Utility Services Pillar 2: Quality of Governance and Transparency of Utility Services
456,IC.BRE.US.P3,B-READY: Utility Services Pillar 3: Operational Efficiency of Utility Service Provision
457,IC.BUS.NDNS.ZS,"New business density (new registrations per 1,000 people ages 15-64)"
458,IC.BUS.NREG,New businesses registered (number)
459,IC.CUS.DURS.EX,Average time to clear exports through customs (days)
460,IC.CUS.DURS.IM,Average time to clear imports through customs (days)
461,IC.ELC.DURS,Time to obtain an electrical connection (days)
462,IC.ELC.OUTG.ZS,Firms experiencing electrical outages (% of firms)
463,IC.FRM.BKWC.ZS,Firms using banks to finance working capital (% of firms)
464,IC.FRM.BNKL.ZS,Firms with a bank loan/line of credit (% of firms)
465,IC.FRM.BNKS.ZS,Firms using banks to finance investment (% of firms)
466,IC.FRM.BRIB.ZS,Bribery incidence (% of firms experiencing at least one bribe payment request)
467,IC.FRM.CDP.ZS,Firms that use a third party to resolve commercial disputes (% of firms)
468,IC.FRM.CMPU.ZS,Firms competing against unregistered firms (% of firms)
469,IC.FRM.CO2.ZS,Firms monitoring own CO2 emissions (% of firms)
470,IC.FRM.CORR.ZS,Informal payments to public officials (% of firms)
471,IC.FRM.CRDC.FL.ZS,Firms that are fully credit constrained (% of firms)
472,IC.FRM.CRDC.PT.ZS,Firms that are partially credit constrained (% of firms)
473,IC.FRM.DURS,Time required to obtain an operating license (days)
474,IC.FRM.ENGM.ZS,Firms adopting energy management measures to reduce emissions (% of firms)
475,IC.FRM.EXS.ZS,Firms exporting directly at least 10% of sales (% of firms)
476,IC.FRM.FEMM.ZS,Firms with female top manager (% of firms)
477,IC.FRM.FEMO.ZS,Firms with female participation in ownership (% of firms)
478,IC.FRM.FO.ZS,Firms with at least 10% foreign ownership
479,IC.FRM.FREG.ZS,Firms formally registered when operations started (% of firms)
480,IC.FRM.LOTM.ZS,Firms where largest owner is also the top manager (% of firms)
481,IC.FRM.METG.ZS,Firms visited or required meetings with tax officials (% of firms)
482,IC.FRM.NPRD.ZS,"Firms that introduced a new product/service and process, and spent on R&D"
483,IC.FRM.OUTG.ZS,Value lost due to electrical outages (% of sales for affected firms)
484,IC.FRM.TAXE.ZS,Firms filling taxes electronically (% of firms)
485,IC.FRM.TRNG.ZS,Firms offering formal training (% of firms)
486,IC.GOV.DURS.ZS,Time spent dealing with the requirements of government regulations (% of senior management time)
487,IC.MNG.IND,Management practices index
488,IC.TAX.GIFT.ZS,Firms expected to give gifts in meetings with tax officials (% of firms)
489,IC.TAX.METG,Number of visits or required meetings with tax officials (average for affected firms)
490,IE.PPI.ENGY.CD,Investment in energy with private participation (current US$)
491,IE.PPI.ICTI.CD,Investment in ICT with private participation (current US$)
492,IE.PPI.TRAN.CD,Investment in transport with private participation (current US$)
493,IE.PPI.WATR.CD,Investment in water and sanitation with private participation (current US$)
494,IE.PPN.ENGY.CD,Public private partnerships investment in energy (current US$)
495,IE.PPN.ICTI.CD,Public private partnerships investment in ICT (current US$)
496,IE.PPN.TRAN.CD,Public private partnerships investment in transport (current US$)
497,IE.PPN.WATR.CD,Public private partnerships investment in water and sanitation (current US$)
498,IP.IDS.NRCT,"Industrial design applications, nonresident, by count"
499,IP.IDS.RSCT,"Industrial design applications, resident, by count"
500,IP.JRN.ARTC.SC,Scientific and technical journal articles
501,IP.PAT.NRES,"Patent applications, nonresidents"
502,IP.PAT.RESD,"Patent applications, residents"
503,IP.TMK.NRCT,"Trademark applications, nonresident, by count"
504,IP.TMK.RSCT,"Trademark applications, resident, by count"
505,IQ.CPA.BREG.XQ,CPIA business regulatory environment rating (1=low to 6=high)
506,IQ.CPA.DEBT.XQ,CPIA debt policy rating (1=low to 6=high)
507,IQ.CPA.ECON.XQ,CPIA economic management cluster average (1=low to 6=high)
508,IQ.CPA.ENVR.XQ,CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)
509,IQ.CPA.FINQ.XQ,CPIA quality of budgetary and financial management rating (1=low to 6=high)
510,IQ.CPA.FINS.XQ,CPIA financial sector rating (1=low to 6=high)
511,IQ.CPA.FISP.XQ,CPIA fiscal policy rating (1=low to 6=high)
512,IQ.CPA.GNDR.XQ,CPIA gender equality rating (1=low to 6=high)
513,IQ.CPA.HRES.XQ,CPIA building human resources rating (1=low to 6=high)
514,IQ.CPA.IRAI.XQ,IDA resource allocation index (1=low to 6=high)
515,IQ.CPA.MACR.XQ,CPIA macroeconomic management rating (1=low to 6=high)
516,IQ.CPA.PADM.XQ,CPIA quality of public administration rating (1=low to 6=high)
517,IQ.CPA.PRES.XQ,CPIA equity of public resource use rating (1=low to 6=high)
518,IQ.CPA.PROP.XQ,CPIA property rights and rule-based governance rating (1=low to 6=high)
519,IQ.CPA.PROT.XQ,CPIA social protection rating (1=low to 6=high)
520,IQ.CPA.PUBS.XQ,CPIA public sector management and institutions cluster average (1=low to 6=high)
521,IQ.CPA.REVN.XQ,CPIA efficiency of revenue mobilization rating (1=low to 6=high)
522,IQ.CPA.SOCI.XQ,CPIA policies for social inclusion/equity cluster average (1=low to 6=high)
523,IQ.CPA.STRC.XQ,CPIA structural policies cluster average (1=low to 6=high)
524,IQ.CPA.TRAD.XQ,CPIA trade rating (1=low to 6=high)
525,IQ.CPA.TRAN.XQ,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)"
526,IQ.SPI.OVRL,Statistical performance indicators (SPI): Overall score (scale 0-100)
527,IQ.SPI.PIL1,Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100)
528,IQ.SPI.PIL2,Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100)
529,IQ.SPI.PIL3,Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100)
530,IQ.SPI.PIL4,Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100)
531,IQ.SPI.PIL5,Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100)
532,IS.AIR.DPRT,"Air transport, registered carrier departures worldwide"
533,IS.AIR.GOOD.MT.K1,"Air transport, freight (million ton-km)"
534,IS.AIR.PSGR,"Air transport, passengers carried"
535,IS.RRS.GOOD.MT.K6,"Railways, goods transported (million ton-km)"
536,IS.RRS.PASG.KM,"Railways, passengers carried (million passenger-km)"
537,IS.RRS.TOTL.KM,Rail lines (total route-km)
538,IS.SHP.GCNW.XQ,Liner shipping connectivity index (maximum value in 2004 = 100)
539,IS.SHP.GOOD.TU,Container port traffic (TEU: 20 foot equivalent units)
540,IT.CEL.SETS,Mobile cellular subscriptions
541,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people)
542,IT.MLT.MAIN,Fixed telephone subscriptions
543,IT.MLT.MAIN.P2,Fixed telephone subscriptions (per 100 people)
544,IT.NET.BBND,Fixed broadband subscriptions
545,IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people)
546,IT.NET.SECR,Secure Internet servers
547,IT.NET.SECR.P6,Secure Internet servers (per 1 million people)
548,IT.NET.USER.FE.ZS,"Individuals using the Internet, female (% of female population)"
549,IT.NET.USER.MA.ZS,"Individuals using the Internet, male (% of male population)"
550,IT.NET.USER.ZS,Individuals using the Internet (% of population)
551,LP.EXP.DURS.MD,"Lead time to export, median case (days)"
552,LP.IMP.DURS.MD,"Lead time to import, median case (days)"
553,LP.LPI.CUST.XQ,Logistics performance index: Efficiency of customs clearance process (1=low to 5=high)
554,LP.LPI.INFR.XQ,Logistics performance index: Quality of trade and transport-related infrastructure (1=low to 5=high)
555,LP.LPI.ITRN.XQ,Logistics performance index: Ease of arranging competitively priced shipments (1=low to 5=high)
556,LP.LPI.LOGS.XQ,Logistics performance index: Competence and quality of logistics services (1=low to 5=high)
557,LP.LPI.OVRL.XQ,Logistics performance index: Overall (1=low to 5=high)
558,LP.LPI.TIME.XQ,Logistics performance index: Frequency with which shipments reach consignee within scheduled or expected time (1=low to 5=high)
559,LP.LPI.TRAC.XQ,Logistics performance index: Ability to track and trace consignments (1=low to 5=high)
560,MS.MIL.MPRT.KD,Arms imports (SIPRI trend indicator values)
561,MS.MIL.TOTL.P1,"Armed forces personnel, total"
562,MS.MIL.TOTL.TF.ZS,Armed forces personnel (% of total labor force)
563,MS.MIL.XPND.CD,Military expenditure (current USD)
564,MS.MIL.XPND.CN,Military expenditure (current LCU)
565,MS.MIL.XPND.GD.ZS,Military expenditure (% of GDP)
566,MS.MIL.XPND.ZS,Military expenditure (% of general government expenditure)
567,MS.MIL.XPRT.KD,Arms exports (SIPRI trend indicator values)
568,NE.CON.GOVT.CD,General government final consumption expenditure (current US$)
569,NE.CON.GOVT.CN,General government final consumption expenditure (current LCU)
570,NE.CON.GOVT.KD,General government final consumption expenditure (constant 2015 US$)
571,NE.CON.GOVT.KD.ZG,General government final consumption expenditure (annual % growth)
572,NE.CON.GOVT.KN,General government final consumption expenditure (constant LCU)
573,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP)
574,NE.CON.PCAP.PP.CD,"Households and NPISHs Final consumption expenditure per capita, PPP (current international $)"
575,NE.CON.PCAP.PP.KD,"Households and NPISHs Final consumption expenditure per capita, PPP (constant 2021 international $)"
576,NE.CON.PRVT.CD,Households and NPISHs Final consumption expenditure (current US$)
577,NE.CON.PRVT.CN,Households and NPISHs Final consumption expenditure (current LCU)
578,NE.CON.PRVT.CN.AD,Households and NPISHs final consumption expenditure: linked series (current LCU)
579,NE.CON.PRVT.KD,Households and NPISHs Final consumption expenditure (constant 2015 US$)
580,NE.CON.PRVT.KD.ZG,Households and NPISHs Final consumption expenditure (annual % growth)
581,NE.CON.PRVT.KN,Households and NPISHs Final consumption expenditure (constant LCU)
582,NE.CON.PRVT.PC.KD,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$)
583,NE.CON.PRVT.PC.KD.ZG,Households and NPISHs Final consumption expenditure per capita growth (annual %)
584,NE.CON.PRVT.PP.CD,"Households and NPISHs Final consumption expenditure, PPP (current international $)"
585,NE.CON.PRVT.PP.KD,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)"
586,NE.CON.PRVT.ZS,Households and NPISHs final consumption expenditure (% of GDP)
587,NE.CON.TOTL.CD,Final consumption expenditure (current US$)
588,NE.CON.TOTL.CN,Final consumption expenditure (current LCU)
589,NE.CON.TOTL.KD,Final consumption expenditure (constant 2015 US$)
590,NE.CON.TOTL.KD.ZG,Final consumption expenditure (annual % growth)
591,NE.CON.TOTL.KN,Final consumption expenditure (constant LCU)
592,NE.CON.TOTL.ZS,Final consumption expenditure (% of GDP)
593,NE.DAB.DEFL.ZS,Gross national expenditure deflator (base year varies by country)
594,NE.DAB.TOTL.CD,Gross national expenditure (current US$)
595,NE.DAB.TOTL.CN,Gross national expenditure (current LCU)
596,NE.DAB.TOTL.KD,Gross national expenditure (constant 2015 US$)
597,NE.DAB.TOTL.KN,Gross national expenditure (constant LCU)
598,NE.DAB.TOTL.ZS,Gross national expenditure (% of GDP)
599,NE.EXP.GNFS.CD,Exports of goods and services (current US$)
600,NE.EXP.GNFS.CN,Exports of goods and services (current LCU)
601,NE.EXP.GNFS.KD,Exports of goods and services (constant 2015 US$)
602,NE.EXP.GNFS.KD.ZG,Exports of goods and services (annual % growth)
603,NE.EXP.GNFS.KN,Exports of goods and services (constant LCU)
604,NE.EXP.GNFS.ZS,Exports of goods and services (% of GDP)
605,NE.GDI.FPRV.CN,"Gross fixed capital formation, private sector (current LCU)"
606,NE.GDI.FPRV.ZS,"Gross fixed capital formation, private sector (% of GDP)"
607,NE.GDI.FTOT.CD,Gross fixed capital formation (current US$)
608,NE.GDI.FTOT.CN,Gross fixed capital formation (current LCU)
609,NE.GDI.FTOT.KD,Gross fixed capital formation (constant 2015 US$)
610,NE.GDI.FTOT.KD.ZG,Gross fixed capital formation (annual % growth)
611,NE.GDI.FTOT.KN,Gross fixed capital formation (constant LCU)
612,NE.GDI.FTOT.ZS,Gross fixed capital formation (% of GDP)
613,NE.GDI.STKB.CD,Changes in inventories (current US$)
614,NE.GDI.STKB.CN,Changes in inventories (current LCU)
615,NE.GDI.STKB.KN,Changes in inventories (constant LCU)
616,NE.GDI.TOTL.CD,Gross capital formation (current US$)
617,NE.GDI.TOTL.CN,Gross capital formation (current LCU)
618,NE.GDI.TOTL.KD,Gross capital formation (constant 2015 US$)
619,NE.GDI.TOTL.KD.ZG,Gross capital formation (annual % growth)
620,NE.GDI.TOTL.KN,Gross capital formation (constant LCU)
621,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP)
622,NE.IMP.GNFS.CD,Imports of goods and services (current US$)
623,NE.IMP.GNFS.CN,Imports of goods and services (current LCU)
624,NE.IMP.GNFS.KD,Imports of goods and services (constant 2015 US$)
625,NE.IMP.GNFS.KD.ZG,Imports of goods and services (annual % growth)
626,NE.IMP.GNFS.KN,Imports of goods and services (constant LCU)
627,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP)
628,NE.RSB.GNFS.CD,External balance on goods and services (current US$)
629,NE.RSB.GNFS.CN,External balance on goods and services (current LCU)
630,NE.RSB.GNFS.KN,External balance on goods and services (constant LCU)
631,NE.RSB.GNFS.ZS,External balance on goods and services (% of GDP)
632,NE.TRD.GNFS.ZS,Trade (% of GDP)
633,NV.AGR.EMPL.KD,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)"
634,NV.AGR.TOTL.CD,"Agriculture, forestry, and fishing, value added (current US$)"
635,NV.AGR.TOTL.CN,"Agriculture, forestry, and fishing, value added (current LCU)"
636,NV.AGR.TOTL.KD,"Agriculture, forestry, and fishing, value added (constant 2015 US$)"
637,NV.AGR.TOTL.KD.ZG,"Agriculture, forestry, and fishing, value added (annual % growth)"
638,NV.AGR.TOTL.KN,"Agriculture, forestry, and fishing, value added (constant LCU)"
639,NV.AGR.TOTL.ZS,"Agriculture, forestry, and fishing, value added (% of GDP)"
640,NV.FSM.TOTL.CN,Financial intermediary services indirectly Measured (FISIM) (current LCU)
641,NV.FSM.TOTL.KN,Financial intermediary services indirectly Measured (FISIM) (constant LCU)
642,NV.IND.EMPL.KD,"Industry (including construction), value added per worker (constant 2015 US$)"
643,NV.IND.MANF.CD,"Manufacturing, value added (current US$)"
644,NV.IND.MANF.CN,"Manufacturing, value added (current LCU)"
645,NV.IND.MANF.KD,"Manufacturing, value added (constant 2015 US$)"
646,NV.IND.MANF.KD.ZG,"Manufacturing, value added (annual % growth)"
647,NV.IND.MANF.KN,"Manufacturing, value added (constant LCU)"
648,NV.IND.MANF.ZS,"Manufacturing, value added (% of GDP)"
649,NV.IND.TOTL.CD,"Industry (including construction), value added (current US$)"
650,NV.IND.TOTL.CN,"Industry (including construction), value added (current LCU)"
651,NV.IND.TOTL.KD,"Industry (including construction), value added (constant 2015 US$)"
652,NV.IND.TOTL.KD.ZG,"Industry (including construction), value added (annual % growth)"
653,NV.IND.TOTL.KN,"Industry (including construction), value added (constant LCU)"
654,NV.IND.TOTL.ZS,"Industry (including construction), value added (% of GDP)"
655,NV.MNF.CHEM.ZS.UN,Chemicals (% of value added in manufacturing)
656,NV.MNF.FBTO.ZS.UN,"Food, beverages and tobacco (% of value added in manufacturing)"
657,NV.MNF.MTRN.ZS.UN,Machinery and transport equipment (% of value added in manufacturing)
658,NV.MNF.OTHR.ZS.UN,Other manufacturing (% of value added in manufacturing)
659,NV.MNF.TECH.ZS.UN,Medium and high-tech manufacturing value added (% manufacturing value added)
660,NV.MNF.TXTL.ZS.UN,Textiles and clothing (% of value added in manufacturing)
661,NV.SRV.EMPL.KD,"Services, value added per worker (constant 2015 US$)"
662,NV.SRV.TOTL.CD,"Services, value added (current US$)"
663,NV.SRV.TOTL.CN,"Services, value added (current LCU)"
664,NV.SRV.TOTL.KD,"Services, value added (constant 2015 US$)"
665,NV.SRV.TOTL.KD.ZG,"Services, value added (annual % growth)"
666,NV.SRV.TOTL.KN,"Services, value added (constant LCU)"
667,NV.SRV.TOTL.ZS,"Services, value added (% of GDP)"
668,NY.ADJ.AEDU.CD,Adjusted savings: education expenditure (current US$)
669,NY.ADJ.AEDU.GN.ZS,Adjusted savings: education expenditure (% of GNI)
670,NY.ADJ.DCO2.CD,Adjusted savings: carbon dioxide damage (current US$)
671,NY.ADJ.DCO2.GN.ZS,Adjusted savings: carbon dioxide damage (% of GNI)
672,NY.ADJ.DFOR.CD,Adjusted savings: net forest depletion (current US$)
673,NY.ADJ.DFOR.GN.ZS,Adjusted savings: net forest depletion (% of GNI)
674,NY.ADJ.DKAP.CD,Adjusted savings: consumption of fixed capital (current US$)
675,NY.ADJ.DKAP.GN.ZS,Adjusted savings: consumption of fixed capital (% of GNI)
676,NY.ADJ.DMIN.CD,Adjusted savings: mineral depletion (current US$)
677,NY.ADJ.DMIN.GN.ZS,Adjusted savings: mineral depletion (% of GNI)
678,NY.ADJ.DNGY.CD,Adjusted savings: energy depletion (current US$)
679,NY.ADJ.DNGY.GN.ZS,Adjusted savings: energy depletion (% of GNI)
680,NY.ADJ.DPEM.CD,Adjusted savings: particulate emission damage (current US$)
681,NY.ADJ.DPEM.GN.ZS,Adjusted savings: particulate emission damage (% of GNI)
682,NY.ADJ.DRES.GN.ZS,Adjusted savings: natural resources depletion (% of GNI)
683,NY.ADJ.ICTR.GN.ZS,Adjusted savings: gross savings (% of GNI)
684,NY.ADJ.NNAT.CD,Adjusted savings: net national savings (current US$)
