,id,value
86,DC.DAC.CECL.CD,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)"
87,DC.DAC.CHEL.CD,"Net bilateral aid flows from DAC donors, Switzerland (current US$)"
88,DC.DAC.CZEL.CD,"Net bilateral aid flows from DAC donors, Czechia (current US$)"
89,DC.DAC.DEUL.CD,"Net bilateral aid flows from DAC donors, Germany (current US$)"
90,DC.DAC.DNKL.CD,"Net bilateral aid flows from DAC donors, Denmark (current US$)"
91,DC.DAC.ESPL.CD,"Net bilateral aid flows from DAC donors, Spain (current US$)"
92,DC.DAC.ESTL.CD,"Net bilateral aid flows from DAC donors, Estonia (current US$)"
93,DC.DAC.FINL.CD,"Net bilateral aid flows from DAC donors, Finland (current US$)"
94,DC.DAC.FRAL.CD,"Net bilateral aid flows from DAC donors, France (current US$)"
95,DC.DAC.GBRL.CD,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)"
96,DC.DAC.GRCL.CD,"Net bilateral aid flows from DAC donors, Greece (current US$)"
97,DC.DAC.HUNL.CD,"Net bilateral aid flows from DAC donors, Hungary (current US$)"
98,DC.DAC.IRLL.CD,"Net bilateral aid flows from DAC donors, Ireland (current US$)"
99,DC.DAC.ISLL.CD,"Net bilateral aid flows from DAC donors, Iceland (current US$)"
100,DC.DAC.ITAL.CD,"Net bilateral aid flows from DAC donors, Italy (current US$)"
101,DC.DAC.JPNL.CD,"Net bilateral aid flows from DAC donors, Japan (current US$)"
102,DC.DAC.KORL.CD,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)"
103,DC.DAC.LTUL.CD,"Net bilateral aid flows from DAC donors, Lithuania (current US$)"
104,DC.DAC.LUXL.CD,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)"
105,DC.DAC.NLDL.CD,"Net bilateral aid flows from DAC donors, Netherlands (current US$)"
106,DC.DAC.NORL.CD,"Net bilateral aid flows from DAC donors, Norway (current US$)"
107,DC.DAC.NZLL.CD,"Net bilateral aid flows from DAC donors, New Zealand (current US$)"
108,DC.DAC.POLL.CD,"Net bilateral aid flows from DAC donors, Poland (current US$)"
109,DC.DAC.PRTL.CD,"Net bilateral aid flows from DAC donors, Portugal (current US$)"
110,DC.DAC.SVKL.CD,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)"
111,DC.DAC.SVNL.CD,"Net bilateral aid flows from DAC donors, Slovenia (current US$)"
112,DC.DAC.SWEL.CD,"Net bilateral aid flows from DAC donors, Sweden (current US$)"
113,DC.DAC.TOTL.CD,"Net bilateral aid flows from DAC donors, Total (current US$)"
114,DC.DAC.USAL.CD,"Net bilateral aid flows from DAC donors, United States (current US$)"
115,DC.ODA.TLDC.CD,"Net ODA provided, to the least developed countries (current US$)"
116,DC.ODA.TLDC.GN.ZS,Net ODA provided to the least developed countries (% of GNI)
117,DC.ODA.TOTL.CD,"Net ODA provided, total (current US$)"
